"","Country","Neighbor","land_border_proportion","total_border_proportion"
"430","PER","BRA",0.2819767442,0.1962264151
"431","SWZ","MOZ",0.1957831325,0.1962616822
"432","BFA","NER",0.1965725806,0.196680238
"433","TCD","NER",0.1968716289,0.196883378
"434","MKD","ALB",0.1974789916,0.1971279373
"435","CIV","LBR",0.2305699482,0.1975172414
"436","TKM","AFG",0.1990521327,0.199143469
"437","TCD","CAF",0.2006472492,0.2005697051
"438","AGO","NAM",0.2647058824,0.2024124743
"439","BWA","ZWE",0.2024048096,0.20249066
"440","LUX","FRA",0.201793722,0.2033426184
"441","POL","CZE",0.2361431871,0.2038413879
"442","HUN","ROU",0.2038547072,0.2040534316
"443","BIH","SRB",0.2072767365,0.2041920216
"444","GUY","SUR",0.2418300654,0.2054091065
"445","LVA","EST",0.2971830986,0.2057038835
"446","SAU","YEM",0.3290955321,0.2061943148
"447","ISR","EGY",0.2610759494,0.2062015504
"448","NER","TCD",0.2062146893,0.2062489029
"449","MKD",NA,0.2079831933,0.2075718016
"451","GHA","BFA",0.2621060723,0.208507406
"452","DZA","MAR",0.2410447761,0.2087573648
"453","ARE","SAU",0.5269016698,0.2091533181
"454","UKR","RUS",0.3379357957,0.2116856951
"455","ARM","TUR",0.2143774069,0.2137161085
"456","KEN","ETH",0.2475705692,0.2145527037
"457","AZE","IRN",0.2142286171,0.2146050671
"458","THA","LAO",0.3606882859,0.2170254887
"459","EGY","LBY",0.4184782609,0.2179863148
"460","AFG","TJK",0.2179860303,0.2181226262
"461","DOM","HTI",1,0.2184466019
"462","CMR","TCD",0.2383456011,0.2191067494
"463","IRQ","SAU",0.222907489,0.2195253506
"464","KGZ","CHN",0.2211618257,0.221248066
"465","ROU","BGR",0.242618742,0.2224661544
"466","COL","VEN",0.340391316,0.2225358228
"467","THA","MMR",0.3639973527,0.2227171492
"468","MOZ","MWI",0.3433098592,0.2228376651
"469","COD","COG",0.2248875562,0.2238320795
"470","KGZ","TJK",0.22406639,0.2243424446
"471","SLE","LBR",0.3193277311,0.225
"472","JOR","SYR",0.2293307087,0.2257676099
"473","GNQ","CMR",0.3492537313,0.2263473054
"474","MYS","IDN",0.5662404092,0.2278189721
"475","TCD","SDN",0.2292340885,0.2278820375
"476","BGR","GRC",0.2733748887,0.2284921369
"477","MEX","USA",0.7216266174,0.2295549222
"478","CAF","TCD",0.2297005249,0.229618262
"479","MMR","THA",0.3012873185,0.2305918524
"480","GIN","MLI",0.2523674242,0.2307071793
"481","KWT","SAU",0.4808362369,0.2310093652
"482","KEN","UGA",0.2683942619,0.2324943932
"483","COD","AGO",0.2338830585,0.233212594
"484","SEN","GMB",0.2804878049,0.2333648691
"485","SRB","ROU",0.2349206349,0.2348297977
"486","ERI","ETH",0.5613861386,0.2362694301
"487","SLV","GTM",0.3716814159,0.2382629108
"488","TJK","KGZ",0.2379903041,0.2382908792
"489","SVN","AUT",0.2533172497,0.2390265102
"490","BDI","COD",0.2396694215,0.2392197125
"491","ZAF","BWA",0.3773584906,0.2402088773
"492","RWA","TZA",0.2432432432,0.2430011198
"493","RWA","COD",0.2432432432,0.2430011198
"494","SUR","GUF",0.301602262,0.2436693741
"495","TLS","IDN",1,0.244111349
"496","MNE","BIH",0.3608247423,0.2449646162
"497","NAM","BWA",0.3475061325,0.2469135802
"498","SYR","IRQ",0.2685714286,0.2473426002
"499","EGY","SDN",0.4776570048,0.2488758553
"500","KWT","IRQ",0.5226480836,0.2497398543
"501","NAM","AGO",0.3495502862,0.2498184459
"502","GHA","CIV",0.3189853958,0.2537030004
"503","SDN","SSD",0.2864620509,0.254299593
"504","GUY","VEN",0.3019607843,0.2543649435
"505","IRL","GBR",1,0.2562917309
"506","SEN","MRT",0.3079268293,0.2563859981
"508","ZWE","ZMB",0.2598425197,0.2599478147
"509","LBR","GIN",0.3553299492,0.2601663586
"510","URY","ARG",0.3703703704,0.2603417266
"511","UZB","TKM",0.2604759441,0.2605690403
"512","ALB","GRC",0.3888888889,0.2606284658
"513","NER","NGA",0.2627118644,0.2627698789
"514","VEN","COL",0.4092813406,0.2630565892
"515","VNM","LAO",0.4578563996,0.2635160213
"516","ZWE","BWA",0.2650918635,0.2651663405
"517","TKM","IRN",0.2654028436,0.2655246253
"518","KHM","THA",0.3122653317,0.2663349917
"519","MRT","ESH",0.3076435141,0.2678448868
"520","KGZ","KAZ",0.2709543568,0.2710159876
"521","LVA","LTU",0.3957746479,0.2748786408
"522","BLZ","MEX",0.4984423676,0.2771618625
"523","USA","CAN",0.7389676384,0.2782714813
"524","MMR","CHN",0.3719528896,0.2799128875
"525","BGR","ROU",0.3365983972,0.2812210916
"526","VEN","BRA",0.451176281,0.2823046324
"527","KGZ","UZB",0.2834024896,0.2833935018
"528","UGA","COD",0.2834128878,0.2835433655
"529","SUR","BRA",0.3496701225,0.2852365026
"530","SUR","GUY",0.3487276155,0.2866698519
"531","MWI","ZMB",0.2905027933,0.2905241236
"532","SVK","POL",0.2914466737,0.2913385827
"533","BLZ","GTM",0.5140186916,0.2949002217
"534","SWE","NOR",0.7247838617,0.297009723
"535","BDI","RWA",0.2975206612,0.2977412731
"536","SOM","ETH",0.6827586207,0.2982292637
"537","ETH","SOM",0.2990033223,0.3003003003
"538","NLD","BEL",0.4347826087,0.3024193548
"539","CAF","COD",0.3025625193,0.3025129484
"540","BEN","TGO",0.3236245955,0.3052132701
"541","NGA","NER",0.3697813121,0.3055102041
"542","AUT","DEU",0.3059045226,0.306010929
"543","BLR","UKR",0.3077777778,0.3072413793
"544","MLI","MRT",0.3088202622,0.3088499241
"545","CHE","FRA",0.3092962641,0.3093952484
"546","BEL","NLD",0.325203252,0.310024113
"547","PAK","AFG",0.3587550487,0.310741688
"548","HUN","SVK",0.3120830245,0.3118378627
"549","BFA","MLI",0.3125,0.3131850924
"550","MAR","DZA",0.7727272727,0.3141245215
"551","GNB","SEN",0.4666666667,0.3147113594
"552","TJK","UZB",0.3177611283,0.3179950698
"553","MKD","GRC",0.3214285714,0.3211488251
"554","MDA","ROU",0.3244495944,0.3239740821
"555","RWA","BDI",0.3243243243,0.3247480403
"556","PRY","BRA",0.3278688525,0.3290816327
"557","TJK","AFG",0.3301013662,0.3303204601
"558","BLR","RUS",0.3311111111,0.3306896552
"559","LBR","CIV",0.4517766497,0.3308687616
"560","LTU","LVA",0.3552465234,0.332355099
"561","GHA","TGO",0.4189085319,0.3330801367
"562","ECU","PER",0.704,0.3343536614
"563","COG","GAB",0.3456140351,0.3354486163
"564","SYR","TUR",0.365,0.3360588716
